fc′,dosage,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
40.0,20.0,2.97,3.5,198.0,20.0,1302.0,798.9939293031288,190.31500285984913,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,88
40.0,20.0,2.97,3.5,198.0,20.0,1302.0,487.97797953541925,204.39292197723577,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,89
40.0,20.0,2.97,3.5,198.0,20.0,1302.0,1110.0098790708385,411.8310233759141,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,90
40.0,20.0,2.97,3.5,198.0,40.0,0.0,933.0478493031288,185.16180062353916,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,91
40.0,20.0,2.97,3.5,198.0,40.0,0.0,622.0318995354193,182.9336970578452,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,92
40.0,20.0,2.97,3.5,198.0,40.0,0.0,1244.0637990708385,361.498939043468,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,93
40.0,20.0,2.97,3.5,198.0,40.0,93.0,923.4725693031288,181.36688567110946,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,94
40.0,20.0,2.97,3.5,198.0,40.0,93.0,612.4566195354192,180.15482739239738,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,95
40.0,20.0,2.97,3.5,198.0,40.0,93.0,1234.4885190708385,356.8113120333156,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,96
40.0,20.0,2.97,3.5,198.0,40.0,186.0,913.8972893031287,178.20949479871715,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,97
40.0,20.0,2.97,3.5,198.0,40.0,186.0,602.8813395354192,177.91208186751476,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,98
40.0,20.0,2.97,3.5,198.0,40.0,186.0,1224.9132390708385,352.8151138647362,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,99
40.0,20.0,2.97,3.5,198.0,40.0,279.0,904.3220093031288,181.71587007335307,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,100
40.0,20.0,2.97,3.5,198.0,40.0,279.0,593.3060595354192,178.24539448661628,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,101
40.0,20.0,2.97,3.5,198.0,40.0,279.0,1215.3379590708385,369.7263390201377,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,102
40.0,20.0,2.97,3.5,198.0,40.0,372.0,894.7467293031287,189.476969089484,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,103
40.0,20.0,2.97,3.5,198.0,40.0,372.0,583.7307795354193,186.88273765790987,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,104
40.0,20.0,2.97,3.5,198.0,40.0,372.0,1205.7626790708384,387.0375222196588,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,105
40.0,20.0,2.97,3.5,198.0,40.0,465.0,885.1714493031287,197.20474601542304,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,106
40.0,20.0,2.97,3.5,198.0,40.0,465.0,574.1554995354193,195.4488348811612,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,107
40.0,20.0,2.97,3.5,198.0,40.0,465.0,1196.1873990708384,404.28950654886336,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,108
40.0,20.0,2.97,3.5,198.0,40.0,558.0,875.5961693031287,204.90892134112843,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,109
40.0,20.0,2.97,3.5,198.0,40.0,558.0,564.5802195354192,203.96501920998932,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,110
40.0,20.0,2.97,3.5,198.0,40.0,558.0,1186.6121190708384,421.48356102558654,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,111
40.0,20.0,2.97,3.5,198.0,40.0,651.0,866.0208893031287,212.53367801659337,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,112
40.0,20.0,2.97,3.5,198.0,40.0,651.0,555.0049395354192,212.37807897193017,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,113
40.0,20.0,2.97,3.5,198.0,40.0,651.0,1177.0368390708384,438.59631100449207,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,114
40.0,20.0,2.97,3.5,198.0,40.0,744.0,856.4456093031288,220.1332268211946,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,115
40.0,20.0,2.97,3.5,198.0,40.0,744.0,545.4296595354192,220.71250824068605,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,116
40.0,20.0,2.97,3.5,198.0,40.0,744.0,1167.4615590708386,455.65716413932915,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,117
40.0,20.0,2.97,3.5,198.0,40.0,837.0,846.8703293031288,226.26527069030396,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,118
40.0,20.0,2.97,3.5,198.0,40.0,837.0,535.8543795354193,228.9665034677931,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,119
40.0,20.0,2.97,3.5,198.0,40.0,837.0,1157.8862790708386,462.10929086810637,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,120
40.0,20.0,2.97,3.5,198.0,40.0,930.0,837.2950493031287,224.107111740502,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,121
40.0,20.0,2.97,3.5,198.0,40.0,930.0,526.2790995354193,229.64466098086288,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,122
40.0,20.0,2.97,3.5,198.0,40.0,930.0,1148.3109990708385,459.2980688651394,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,123
40.0,20.0,2.97,3.5,198.0,40.0,1023.0,827.7197693031287,222.0412603166443,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,124
40.0,20.0,2.97,3.5,198.0,40.0,1023.0,516.7038195354193,228.09269137940277,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,125
40.0,20.0,2.97,3.5,198.0,40.0,1023.0,1138.7357190708385,456.64137927455295,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,126
40.0,20.0,2.97,3.5,198.0,40.0,1116.0,818.1444893031288,220.16723350658506,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,127
40.0,20.0,2.97,3.5,198.0,40.0,1116.0,507.12853953541924,226.57548569441184,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,128
40.0,20.0,2.97,3.5,198.0,40.0,1116.0,1129.1604390708385,454.8947702668277,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,129
40.0,20.0,2.97,3.5,198.0,40.0,1209.0,808.5692093031288,220.0065244632614,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,130
40.0,20.0,2.97,3.5,198.0,40.0,1209.0,497.5532595354192,225.9247954226926,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,131
40.0,20.0,2.97,3.5,198.0,40.0,1209.0,1119.5851590708385,454.8947702668277,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,132
40.0,20.0,2.97,3.5,198.0,40.0,1302.0,798.9939293031288,220.0065244632614,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,133
40.0,20.0,2.97,3.5,198.0,40.0,1302.0,487.97797953541925,225.9247954226926,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,134
40.0,20.0,2.97,3.5,198.0,40.0,1302.0,1110.0098790708385,454.8947702668277,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,135
40.0,20.0,2.97,3.5,198.0,60.0,0.0,933.0478493031288,208.48799685611738,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,136
40.0,20.0,2.97,3.5,198.0,60.0,0.0,622.0318995354193,198.48449454623068,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,137
40.0,20.0,2.97,3.5,198.0,60.0,0.0,1244.0637990708385,392.60053402023897,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,138
40.0,20.0,2.97,3.5,198.0,60.0,93.0,923.4725693031288,204.69308190368764,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,139
40.0,20.0,2.97,3.5,198.0,60.0,93.0,612.4566195354192,195.70562488078286,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,140
40.0,20.0,2.97,3.5,198.0,60.0,93.0,1234.4885190708385,387.9129070100864,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,141
40.0,20.0,2.97,3.5,198.0,60.0,186.0,913.8972893031287,201.53569103129533,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,142
40.0,20.0,2.97,3.5,198.0,60.0,186.0,602.8813395354192,193.46287935590024,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,143
40.0,20.0,2.97,3.5,198.0,60.0,186.0,1224.9132390708385,383.91670884150716,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,144
40.0,20.0,2.97,3.5,198.0,60.0,279.0,904.3220093031288,205.87365334619332,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,145
40.0,20.0,2.97,3.5,198.0,60.0,279.0,593.3060595354192,193.99632239633453,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,146
40.0,20.0,2.97,3.5,198.0,60.0,279.0,1215.3379590708385,402.6452385949419,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,147
40.0,20.0,2.97,3.5,198.0,60.0,372.0,894.7467293031287,215.02535252234327,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,148
40.0,20.0,2.97,3.5,198.0,60.0,372.0,583.7307795354193,203.56073234097417,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,149
40.0,20.0,2.97,3.5,198.0,60.0,372.0,1205.7626790708384,421.81055534115507,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,150
40.0,20.0,2.97,3.5,198.0,60.0,465.0,885.1714493031287,224.14372960830153,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,151
40.0,20.0,2.97,3.5,198.0,60.0,465.0,574.1554995354193,213.05389633757156,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,152
40.0,20.0,2.97,3.5,198.0,60.0,465.0,1196.1873990708384,440.91667321705177,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,153
40.0,20.0,2.97,3.5,198.0,60.0,558.0,875.5961693031287,233.23850509402592,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,154
40.0,20.0,2.97,3.5,198.0,60.0,558.0,564.5802195354192,222.4971474397457,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,155
40.0,20.0,2.97,3.5,198.0,60.0,558.0,1186.6121190708384,459.9648612404671,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,156
40.0,20.0,2.97,3.5,198.0,60.0,651.0,866.0208893031287,242.25386192950992,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,157
40.0,20.0,2.97,3.5,198.0,60.0,651.0,555.0049395354192,231.83727397503264,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,158
40.0,20.0,2.97,3.5,198.0,60.0,651.0,1177.0368390708384,478.9317447660647,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,159
40.0,20.0,2.97,3.5,198.0,60.0,744.0,856.4456093031288,251.24401089413024,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,160
40.0,20.0,2.97,3.5,198.0,60.0,744.0,545.4296595354192,241.0987700171346,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,161
40.0,20.0,2.97,3.5,198.0,60.0,744.0,1167.4615590708386,497.8467314475939,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,162
40.0,20.0,2.97,3.5,198.0,60.0,837.0,846.8703293031288,258.56308085848923,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,163
40.0,20.0,2.97,3.5,198.0,60.0,837.0,535.8543795354193,250.27983201758767,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,164
40.0,20.0,2.97,3.5,198.0,60.0,837.0,1157.8862790708386,505.17303775902013,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,165
40.0,20.0,2.97,3.5,198.0,60.0,930.0,837.2950493031287,256.4049219086873,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,166
40.0,20.0,2.97,3.5,198.0,60.0,930.0,526.2790995354193,251.17653442631973,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,167
40.0,20.0,2.97,3.5,198.0,60.0,930.0,1148.3109990708385,502.36181575605303,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,168
40.0,20.0,2.97,3.5,198.0,60.0,1023.0,827.7197693031287,254.33907048482953,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,169
40.0,20.0,2.97,3.5,198.0,60.0,1023.0,516.7038195354193,249.62456482485962,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,170
40.0,20.0,2.97,3.5,198.0,60.0,1023.0,1138.7357190708385,499.70512616546654,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,171
40.0,20.0,2.97,3.5,198.0,60.0,1116.0,818.1444893031288,252.4650436747703,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,172
40.0,20.0,2.97,3.5,198.0,60.0,1116.0,507.12853953541924,248.10735913986866,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,173
