fc′,as,ec,fpe,Pu,Mu,Vu,carbon,ID
28.0,99.0,0.075,930.0,579.8958672445823,140.5735570123517,17.736021447581116,16.65411779534618,50
28.0,99.0,0.075,976.5,577.5020472445823,139.89423125984152,17.735886795206117,16.65411779534618,51
28.0,99.0,0.075,1023.0,575.1082272445823,139.24032843387795,17.735752142831117,16.65411779534618,52
28.0,99.0,0.075,1069.5,572.7144072445823,138.5803051388749,17.735617490456114,16.65411779534618,53
28.0,99.0,0.075,1116.0,570.3205872445823,138.34795814585064,17.735482838081115,16.65411779534618,54
28.0,99.0,0.075,1162.5,567.9267672445823,138.34795814585064,17.735348185706115,16.65411779534618,55
28.0,99.0,0.075,1209.0,565.5329472445823,138.34795814585064,17.735213533331116,16.65411779534618,56
28.0,99.0,0.075,1255.5,563.1391272445823,138.34795814585064,17.735078880956113,16.65411779534618,57
28.0,99.0,0.075,1302.0,560.7453072445822,138.34795814585064,17.734944228581117,16.65411779534618,58
28.0,99.0,0.1,0.0,627.7722672445823,119.46807564425058,17.738714495081116,16.65411779534618,59
28.0,99.0,0.1,46.5,625.3784472445823,118.44998107549095,17.738579842706116,16.65411779534618,60
28.0,99.0,0.1,93.0,622.9846272445823,117.51463929384082,17.738445190331117,16.65411779534618,61
28.0,99.0,0.1,139.5,620.5908072445824,116.65537826655098,17.738310537956117,16.65411779534618,62
28.0,99.0,0.1,186.0,618.1969872445823,115.84059004782259,17.738175885581118,16.65411779534618,63
28.0,99.0,0.1,232.5,615.8031672445823,118.47993768551528,17.73804123320612,16.65411779534618,64
28.0,99.0,0.1,279.0,613.4093472445822,121.13787303817472,17.737906580831115,16.65411779534618,65
28.0,99.0,0.1,325.5,611.0155272445824,123.79916535678157,17.737771928456116,16.65411779534618,66
28.0,99.0,0.1,372.0,608.6217072445822,126.45273045568258,17.737637276081117,16.65411779534618,67
28.0,99.0,0.1,418.5,606.2278872445822,129.11322306398725,17.737502623706114,16.65411779534618,68
28.0,99.0,0.1,465.0,603.8340672445823,131.73655047147912,17.737367971331118,16.65411779534618,69
28.0,99.0,0.1,511.5,601.4402472445822,134.36341171880116,17.737233318956118,16.65411779534618,70
28.0,99.0,0.1,558.0,599.0464272445822,136.95002571832777,17.737098666581115,16.65411779534618,71
28.0,99.0,0.1,604.5,596.6526072445823,139.53879754917398,17.736964014206116,16.65411779534618,72
28.0,99.0,0.1,651.0,594.2587872445823,142.11495886182516,17.73682936183112,16.65411779534618,73
28.0,99.0,0.1,697.5,591.8649672445822,144.6620630792543,17.736694709456113,16.65411779534618,74
28.0,99.0,0.1,744.0,589.4711472445822,147.19506162018774,17.736560057081114,16.65411779534618,75
28.0,99.0,0.1,790.5,587.0773272445823,149.4402218301871,17.736425404706115,16.65411779534618,76
28.0,99.0,0.1,837.0,584.6835072445823,148.73010497814957,17.736290752331115,16.65411779534618,77
28.0,99.0,0.1,883.5,582.2896872445822,148.03545576871082,17.736156099956116,16.65411779534618,78
28.0,99.0,0.1,930.0,579.8958672445823,147.36436278783395,17.736021447581116,16.65411779534618,79
28.0,99.0,0.1,976.5,577.5020472445823,146.68503703532375,17.735886795206117,16.65411779534618,80
