fc′,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
37.0,3.85,4.56,198.0,20.0,744.0,786.4670206053942,172.73768443862062,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,24
37.0,3.85,4.56,198.0,20.0,837.0,776.8917406053941,177.80968507355644,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,25
37.0,3.85,4.56,198.0,20.0,930.0,767.3164606053941,175.77587110224778,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,26
37.0,3.85,4.56,198.0,20.0,1023.0,757.7411806053941,174.89010590615544,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,27
37.0,3.85,4.56,198.0,20.0,1116.0,748.1659006053942,174.89010590615544,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,28
37.0,3.85,4.56,198.0,20.0,1209.0,738.5906206053942,174.89010590615544,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,29
37.0,3.85,4.56,198.0,20.0,1302.0,729.015340605394,174.89010590615544,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,30
37.0,3.85,4.56,198.0,40.0,0.0,863.0692606053941,171.03357616548908,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,31
37.0,3.85,4.56,198.0,40.0,93.0,853.4939806053941,167.31276233062115,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,32
37.0,3.85,4.56,198.0,40.0,186.0,843.9187006053941,164.23586807529935,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,33
37.0,3.85,4.56,198.0,40.0,279.0,834.3434206053942,166.5060577738688,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,34
37.0,3.85,4.56,198.0,40.0,372.0,824.7681406053941,173.54690456015553,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,35
37.0,3.85,4.56,198.0,40.0,465.0,815.1928606053941,180.58196658893002,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,36
37.0,3.85,4.56,198.0,40.0,558.0,805.6175806053941,187.57976808905207,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,37
37.0,3.85,4.56,198.0,40.0,651.0,796.0423006053942,194.4840326979053,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,38
37.0,3.85,4.56,198.0,40.0,744.0,786.4670206053942,201.40456386924143,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,39
37.0,3.85,4.56,198.0,40.0,837.0,776.8917406053941,207.68515947912778,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,40
37.0,3.85,4.56,198.0,40.0,930.0,767.3164606053941,205.65134550781912,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,41
37.0,3.85,4.56,198.0,40.0,1023.0,757.7411806053941,203.7043873100706,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,42
37.0,3.85,4.56,198.0,40.0,1116.0,748.1659006053942,201.91065685319236,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,43
37.0,3.85,4.56,198.0,40.0,1209.0,738.5906206053942,201.62780957537814,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,44
37.0,3.85,4.56,198.0,40.0,1302.0,729.015340605394,201.62780957537814,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,45
37.0,3.85,4.56,198.0,60.0,0.0,863.0692606053941,192.61030768062392,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,46
37.0,3.85,4.56,198.0,60.0,93.0,853.4939806053941,188.88949384575602,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,47
37.0,3.85,4.56,198.0,60.0,186.0,843.9187006053941,185.8125995904342,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,48
37.0,3.85,4.56,198.0,60.0,279.0,834.3434206053942,188.74141146440132,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,49
37.0,3.85,4.56,198.0,60.0,372.0,824.7681406053941,197.0685633987057,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,50
37.0,3.85,4.56,198.0,60.0,465.0,815.1928606053941,205.38993057549786,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,51
37.0,3.85,4.56,198.0,60.0,558.0,805.6175806053941,213.67403722363755,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,52
37.0,3.85,4.56,198.0,60.0,651.0,796.0423006053942,221.86460698050843,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,53
37.0,3.85,4.56,198.0,60.0,744.0,786.4670206053942,230.0714432998622,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,54
37.0,3.85,4.56,198.0,60.0,837.0,776.8917406053941,237.5606338846991,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,55
37.0,3.85,4.56,198.0,60.0,930.0,767.3164606053941,235.52681991339043,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,56
37.0,3.85,4.56,198.0,60.0,1023.0,757.7411806053941,233.57986171564195,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,57
37.0,3.85,4.56,198.0,60.0,1116.0,748.1659006053942,231.78613125876365,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,58
