fc′,L,fR3,t,span_vu,Lc,span_mu,span,as,dps,fpe,fR1,control
67.0,385.90000000000003,7.67,31.099999999999998,18.311849694752333,3.0,31.713763307660642,18.311849694752333,280.0,385.90000000000003,1302.0,6.98,Shear control
67.0,395.3,7.67,31.099999999999998,18.793334448976584,3.0,32.64247223606938,18.793334448976584,280.0,395.3,1302.0,6.98,Shear control
67.0,104.7,7.67,33.300000000000004,5.659265990279617,3.0,7.135141727699684,5.659265990279617,280.0,104.7,1302.0,6.98,Shear control
67.0,114.1,7.67,33.300000000000004,6.043439295327533,3.0,7.859171547050116,6.043439295327533,280.0,114.1,1302.0,6.98,Shear control
67.0,123.39999999999999,7.67,33.300000000000004,6.426227752867251,3.0,8.58495531476122,6.426227752867251,280.0,123.39999999999999,1302.0,6.98,Shear control
67.0,132.8,7.67,33.300000000000004,6.816402591846613,3.0,9.151812121787229,6.816402591846613,280.0,132.8,1302.0,6.98,Shear control
67.0,142.2,7.67,33.300000000000004,7.210244740677518,3.0,9.92224430913082,7.210244740677518,280.0,142.2,1302.0,6.98,Shear control
67.0,151.60000000000002,7.67,33.300000000000004,7.608017588596185,3.0,10.697551188616595,7.608017588596185,280.0,151.60000000000002,1302.0,6.98,Shear control
67.0,160.89999999999998,7.67,33.300000000000004,8.005600380375235,3.0,11.469932329734968,8.005600380375235,280.0,160.89999999999998,1302.0,6.98,Shear control
67.0,170.3,7.67,33.300000000000004,8.411653925859849,3.0,12.256387568490997,8.411653925859849,280.0,170.3,1302.0,6.98,Shear control
67.0,179.7,7.67,33.300000000000004,8.821987039229867,3.0,13.049152415312196,8.821987039229867,280.0,179.7,1302.0,6.98,Shear control
67.0,189.1,7.67,33.300000000000004,9.236622511439457,3.0,13.847748029761938,9.236622511439457,280.0,189.1,1302.0,6.98,Shear control
67.0,198.4,7.67,33.300000000000004,9.651073156796526,3.0,14.643553735016544,9.651073156796526,280.0,198.4,1302.0,6.98,Shear control
