fc′,L,fR3,t,span_vu,Lc,span_mu,span,as,dps,fpe,fR1,control
67.0,216.0,7.67,78.39999999999999,15.833971806660774,30.0,21.755933205685682,15.833971806660774,280.0,216.0,1302.0,6.98,Shear control
67.0,302.59999999999997,7.67,60.400000000000006,18.425513155698166,30.0,28.155389773899905,18.425513155698166,280.0,302.59999999999997,1302.0,6.98,Shear control
67.0,241.9,7.67,77.39999999999999,17.311251347770575,30.0,24.349741353531744,17.311251347770575,280.0,241.9,1302.0,6.98,Shear control
67.0,206.0,7.67,47.1,11.322460937098674,30.0,16.670878983378064,11.322460937098674,280.0,206.0,1302.0,6.98,Shear control
67.0,150.79999999999998,7.67,66.8,10.698600457129375,30.0,13.805060091450493,10.698600457129375,280.0,150.79999999999998,1302.0,6.98,Shear control
67.0,307.5,7.67,54.300000000000004,17.695377683727457,30.0,27.62062205541987,17.695377683727457,280.0,307.5,1302.0,6.98,Shear control
67.0,146.6,7.67,57.7,9.582164643201073,30.0,12.48678716919472,9.582164643201073,280.0,146.6,1302.0,6.98,Shear control
67.0,125.5,7.67,96.5,11.354407001234282,30.0,13.485438957679884,11.354407001234282,280.0,125.5,1302.0,6.98,Shear control
67.0,246.4,7.67,98.19999999999999,20.10168888472973,30.0,27.433456116950723,20.10168888472973,280.0,246.4,1302.0,6.98,Shear control
67.0,114.1,7.67,74.7,9.146501545977689,30.0,11.020589622329787,9.146501545977689,280.0,114.1,1302.0,6.98,Shear control
67.0,164.39999999999998,7.67,38.5,8.26990955157018,30.0,11.860799195523297,8.26990955157018,280.0,164.39999999999998,1302.0,6.98,Shear control
67.0,193.6,7.67,36.0,9.19458538498724,30.0,13.965793585346338,9.19458538498724,280.0,193.6,1302.0,6.98,Shear control
67.0,191.89999999999998,7.67,68.4,13.235340507305951,30.0,18.08949283700512,13.235340507305951,280.0,191.89999999999998,1302.0,6.98,Shear control
67.0,362.70000000000005,7.67,99.9,28.038094687671794,30.0,40.798450517545135,28.038094687671794,280.0,362.70000000000005,1302.0,6.98,Shear control
67.0,166.1,7.67,85.7,13.392176064437159,30.0,17.22832184990937,13.392176064437159,280.0,166.1,1302.0,6.98,Shear control
67.0,153.70000000000002,7.67,37.1,7.642315216252226,30.0,10.79778331928079,7.642315216252226,280.0,153.70000000000002,1302.0,6.98,Shear control
67.0,386.79999999999995,7.67,60.0,23.09197660447202,30.0,36.85213746003902,23.09197660447202,280.0,386.79999999999995,1302.0,6.98,Shear control
67.0,332.3,7.67,58.2,19.72002059781024,30.0,30.846724968117783,19.72002059781024,280.0,332.3,1302.0,6.98,Shear control
67.0,136.8,7.67,96.3,12.183478352379927,30.0,14.81400815181781,12.183478352379927,280.0,136.8,1302.0,6.98,Shear control
67.0,196.3,7.67,64.4,13.022679442236319,30.0,18.046049678797385,13.022679442236319,280.0,196.3,1302.0,6.98,Shear control
67.0,240.9,7.67,34.4,11.039289033843454,30.0,17.79783161740244,11.039289033843454,280.0,240.9,1302.0,6.98,Shear control
67.0,216.1,7.67,55.199999999999996,12.937379462517821,30.0,18.757744314618996,12.937379462517821,280.0,216.1,1302.0,6.98,Shear control
67.0,102.3,7.67,55.9,7.120618128080596,30.0,8.516210928987334,7.120618128080596,280.0,102.3,1302.0,6.98,Shear control
67.0,351.0,7.67,73.3,23.299852249456706,30.0,35.401026854299104,23.299852249456706,280.0,351.0,1302.0,6.98,Shear control
67.0,332.1,7.67,90.0,24.674674612520413,30.0,35.91133204295588,24.674674612520413,280.0,332.1,1302.0,6.98,Shear control
67.0,107.89999999999999,7.67,36.2,5.692540346529982,30.0,7.309638986289675,5.692540346529982,280.0,107.89999999999999,1302.0,6.98,Shear control
67.0,167.8,7.67,92.0,14.063652540010162,30.0,18.008021819289905,14.063652540010162,280.0,167.8,1302.0,6.98,Shear control
67.0,242.9,7.67,91.1,19.04552040025824,30.0,26.187925262808584,19.04552040025824,280.0,242.9,1302.0,6.98,Shear control
67.0,136.7,7.67,51.0,8.412609649184255,30.0,10.890907078694875,8.412609649184255,280.0,136.7,1302.0,6.98,Shear control
67.0,211.29999999999998,7.67,38.9,10.403393983358102,30.0,15.925545781380492,10.403393983358102,280.0,211.29999999999998,1302.0,6.98,Shear control
67.0,210.60000000000002,7.67,63.2,13.67850997387415,30.0,19.30146055132307,13.67850997387415,280.0,210.60000000000002,1302.0,6.98,Shear control
67.0,191.8,7.67,69.0,13.297511029511156,30.0,18.149411802505284,13.297511029511156,280.0,191.8,1302.0,6.98,Shear control
67.0,150.29999999999998,7.67,34.8,7.221570619934446,30.0,10.239436900186844,7.221570619934446,280.0,150.29999999999998,1302.0,6.98,Shear control
67.0,231.7,7.67,48.4,12.784048793773511,30.0,19.242698783941027,12.784048793773511,280.0,231.7,1302.0,6.98,Shear control
67.0,152.7,7.67,82.69999999999999,12.245875378404868,30.0,15.494444197600576,12.245875378404868,280.0,152.7,1302.0,6.98,Shear control
67.0,355.3,7.67,39.6,17.529781664946867,30.0,29.58860642572701,17.529781664946867,280.0,355.3,1302.0,6.98,Shear control
67.0,195.39999999999998,7.67,99.7,16.70233392942291,30.0,21.86820040005958,16.70233392942291,280.0,195.39999999999998,1302.0,6.98,Shear control
67.0,295.4,7.67,98.9,23.494605425799268,30.0,33.03511060020759,23.494605425799268,280.0,295.4,1302.0,6.98,Shear control
67.0,309.8,7.67,89.80000000000001,23.227466861652392,30.0,33.40534246016712,23.227466861652392,280.0,309.8,1302.0,6.98,Shear control
67.0,262.29999999999995,7.67,95.9,20.908500194008887,30.0,28.93305256552659,20.908500194008887,280.0,262.29999999999995,1302.0,6.98,Shear control
67.0,148.4,7.67,78.2,11.584184431295936,30.0,14.627723889725496,11.584184431295936,280.0,148.4,1302.0,6.98,Shear control
67.0,106.7,7.67,31.4,5.173542274615215,30.0,6.754137160486545,5.173542274615215,280.0,106.7,1302.0,6.98,Shear control
67.0,122.39999999999999,7.67,39.199999999999996,6.575570522116089,30.0,8.725493365779787,6.575570522116089,280.0,122.39999999999999,1302.0,6.98,Shear control
67.0,160.89999999999998,7.67,50.5,9.541809105462667,30.0,13.027009332516508,9.541809105462667,280.0,160.89999999999998,1302.0,6.98,Shear control
67.0,377.8,7.67,35.8,17.905239078211164,30.0,30.982356163775115,17.905239078211164,280.0,377.8,1302.0,6.98,Shear control
67.0,347.6,7.67,63.2,21.43341377746065,30.0,33.32543432579079,21.43341377746065,280.0,347.6,1302.0,6.98,Shear control
67.0,136.4,7.67,99.7,12.381997958965005,30.0,15.015949323024646,12.381997958965005,280.0,136.4,1302.0,6.98,Shear control
67.0,308.2,7.67,89.2,23.04261915216316,30.0,33.14329448652569,23.04261915216316,280.0,308.2,1302.0,6.98,Shear control
67.0,116.3,7.67,93.89999999999999,10.50843725639931,30.0,12.557934673367038,10.50843725639931,280.0,116.3,1302.0,6.98,Shear control
67.0,160.8,7.67,52.3,9.739008376538862,30.0,13.22573560788023,9.739008376538862,280.0,160.8,1302.0,6.98,Shear control
67.0,153.79999999999998,7.67,82.10000000000001,12.266352440030701,30.0,15.559396889459526,12.266352440030701,280.0,153.79999999999998,1302.0,6.98,Shear control
67.0,304.3,7.67,35.9,14.273552995365106,30.0,23.890062220120974,14.273552995365106,280.0,304.3,1302.0,6.98,Shear control
67.0,171.3,7.67,74.5,12.661942806503196,30.0,16.667182174028433,12.661942806503196,280.0,171.3,1302.0,6.98,Shear control
