fc′,L,fR3,t,span_vu,Lc,span_mu,span,as,dps,fpe,fR1,control
67.0,251.7,7.67,32.599999999999994,11.22174666620789,30.0,18.433588389585104,11.22174666620789,280.0,251.7,1302.0,6.98,Shear control
67.0,226.8,7.67,96.60000000000001,18.58179431404454,30.0,25.060676526861076,18.58179431404454,280.0,226.8,1302.0,6.98,Shear control
67.0,208.5,7.67,32.2,9.269308007020374,30.0,14.631506733720093,9.269308007020374,280.0,208.5,1302.0,6.98,Shear control
67.0,316.8,7.67,77.7,21.92985849519206,30.0,32.398014423940126,21.92985849519206,280.0,316.8,1302.0,6.98,Shear control
67.0,189.6,7.67,69.7,13.247571976837548,30.0,18.00954358545841,13.247571976837548,280.0,189.6,1302.0,6.98,Shear control
67.0,312.59999999999997,7.67,43.1,16.011534789325314,30.0,26.08583375733719,16.011534789325314,280.0,312.59999999999997,1302.0,6.98,Shear control
67.0,177.6,7.67,46.0,9.809854264603636,30.0,13.972023635117184,9.809854264603636,280.0,177.6,1302.0,6.98,Shear control
67.0,333.3,7.67,58.2,19.77570813868331,30.0,30.95060184317907,19.77570813868331,280.0,333.3,1302.0,6.98,Shear control
67.0,116.1,7.67,36.1,6.004521176553142,30.0,7.920325397586492,6.004521176553142,280.0,116.1,1302.0,6.98,Shear control
67.0,368.4,7.67,85.5,26.271683951547963,30.0,39.26316055373965,26.271683951547963,280.0,368.4,1302.0,6.98,Shear control
67.0,174.0,7.67,95.3,14.784840715567459,30.0,19.013268526966282,14.784840715567459,280.0,174.0,1302.0,6.98,Shear control
67.0,376.5,7.67,90.80000000000001,27.580590584723044,30.0,40.98669407615213,27.580590584723044,280.0,376.5,1302.0,6.98,Shear control
67.0,342.9,7.67,55.199999999999996,19.78569134089175,30.0,31.403774711945566,19.78569134089175,280.0,342.9,1302.0,6.98,Shear control
67.0,350.1,7.67,37.0,16.749705358842466,30.0,28.532428738638718,16.749705358842466,280.0,350.1,1302.0,6.98,Shear control
67.0,203.1,7.67,65.4,13.526737148129595,30.0,18.842325957217668,13.526737148129595,280.0,203.1,1302.0,6.98,Shear control
67.0,302.70000000000005,7.67,56.4,17.78197418174606,30.0,27.495441667733413,17.78197418174606,280.0,302.70000000000005,1302.0,6.98,Shear control
67.0,288.0,7.67,42.1,14.591808038008283,30.0,23.518170255670658,14.591808038008283,280.0,288.0,1302.0,6.98,Shear control
67.0,270.3,7.67,69.8,17.99489438905574,30.0,26.2765395283459,17.99489438905574,280.0,270.3,1302.0,6.98,Shear control
67.0,395.4,7.67,67.10000000000001,24.850194878260893,30.0,39.071741218685936,24.850194878260893,280.0,395.4,1302.0,6.98,Shear control
67.0,344.4,7.67,71.5,22.619780161417584,30.0,34.39170949597759,22.619780161417584,280.0,344.4,1302.0,6.98,Shear control
67.0,339.9,7.67,76.6,23.158903391817343,30.0,34.73055578950232,23.158903391817343,280.0,339.9,1302.0,6.98,Shear control
67.0,201.3,7.67,90.39999999999999,16.19639390257864,30.0,21.555931121053913,16.19639390257864,280.0,201.3,1302.0,6.98,Shear control
67.0,202.8,7.67,67.2,13.725446773066215,30.0,19.03542879693496,13.725446773066215,280.0,202.8,1302.0,6.98,Shear control
67.0,352.2,7.67,83.1,24.908417979833118,30.0,37.100169095926546,24.908417979833118,280.0,352.2,1302.0,6.98,Shear control
67.0,163.8,7.67,36.3,7.9650051459484645,30.0,11.526877704357167,7.9650051459484645,280.0,163.8,1302.0,6.98,Shear control
67.0,170.4,7.67,35.2,8.097633831296688,30.0,11.922968959787244,8.097633831296688,280.0,170.4,1302.0,6.98,Shear control
67.0,132.89999999999998,7.67,52.699999999999996,8.392385445365248,30.0,10.71330132696658,8.392385445365248,280.0,132.89999999999998,1302.0,6.98,Shear control
